0.000_1L:þ
Offsets:257,262,259,-43,-14,-59
P:roll,pitch,yaw;gyrox,gyroy,gyroz;accelx,accely,accelz;magx,magy,magz
12.302_1L:-73.71,-38.23,76.08_22,6,27_267,-248,5_428,-687,-99
12.331_1L:-73.60,-38.78,75.47_27,30,9_299,-291,24_428,-687,-99
12.348_1L:-72.99,-39.44,74.51_34,41,-2_323,-286,19_465,-655,-117
12.383_1L:-72.64,-39.83,73.57_46,30,20_446,-195,31_465,-655,-117
12.395_1L:-72.61,-40.17,72.36_59,32,47_505,-168,51_465,-655,-117
12.412_1L:-72.53,-40.91,71.06_58,56,51_502,-157,54_465,-655,-117
12.428_1L:-72.25,-42.18,70.13_34,75,28_508,-140,27_465,-655,-117
12.459_1L:-72.06,-43.65,69.90_4,80,9_554,-51,-50_465,-655,-117
12.475_1L:-71.81,-45.66,69.41_4,106,16_554,-39,-83_583,-570,-105
12.492_1L:-70.31,-47.75,68.42_7,107,-38_554,-68,-66_583,-570,-105
12.523_1L:-67.67,-48.79,67.98_5,53,-119_554,42,-79_583,-570,-105
12.539_1L:-65.95,-48.74,68.43_-4,-11,-110_472,263,-128_583,-570,-105
12.556_1L:-65.80,-46.86,69.91_1,-112,-62_281,212,-60_583,-570,-105
12.572_1L:-64.86,-45.20,71.47_10,-159,-107_131,179,100_583,-570,-105
12.603_1L:-55.57,-45.09,69.11_53,-227,-256_-404,-45,431_632,-503,-43
12.620_1L:-51.68,-39.98,71.00_94,-260,-257_-469,74,496_632,-503,-43
12.654_1L:-49.30,-35.51,73.57_64,-260,-208_-469,74,393_632,-503,-43
12.668_1L:-54.28,-31.41,76.20_42,-260,182_-469,-498,221_632,-503,-43
12.685_1L:-60.37,-30.25,76.98_1,-85,283_30,-498,65_632,-503,-43
12.702_1L:-57.95,-34.65,74.74_-43,248,-76_-267,-498,226_632,-503,-43
12.730_1L:-52.64,-37.06,73.45_-28,122,-249_-36,148,95_236,-712,133
12.749_1L:-48.94,-36.87,72.48_30,-2,-55_139,509,64_236,-712,133
12.766_1L:-50.80,-36.39,73.02_33,-12,105_6,157,83_236,-712,133
12.782_1L:-49.92,-37.37,71.78_17,44,89_-34,-74,117_236,-712,133
12.811_1L:-49.55,-38.07,71.50_3,68,22_-169,-155,212_236,-712,133
12.829_1L:-49.40,-35.86,70.59_12,74,76_-264,-107,225_236,-712,133
12.846_1L:-51.53,-36.45,69.97_12,84,170_-341,-203,246_359,-649,178
12.876_1L:-54.00,-38.46,68.64_8,116,173_-393,-302,250_359,-649,178
12.893_1L:-54.68,-40.94,66.88_6,163,118_-359,-308,243_359,-649,178
12.910_1L:-54.18,-43.14,63.82_53,172,101_-207,-203,218_359,-649,178
12.939_1L:-53.41,-44.04,60.68_73,148,101_-158,-141,173_359,-649,178
12.957_1L:-53.40,-39.50,59.53_17,38,99_-18,-119,45_359,-649,178
12.974_1L:-56.27,-39.37,61.35_-31,-31,114_226,3,-8_603,-577,-5
13.002_1L:-58.60,-43.07,62.67_-23,-31,64_542,-86,-23_603,-577,-5
13.019_1L:-59.01,-42.50,62.60_24,-28,23_554,-28,-11_603,-577,-5
13.035_1L:-59.21,-41.62,62.39_36,-38,15_554,-52,45_603,-577,-5
13.052_1L:-59.11,-40.36,62.37_41,-61,-7_554,-121,77_603,-577,-5
13.082_1L:-58.61,-38.48,62.58_49,-91,-34_554,-203,84_603,-577,-5
13.100_1L:-58.66,-36.31,62.95_53,-112,-12_497,-225,70_493,-666,-36
13.118_1L:-59.11,-35.08,63.80_21,-61,8_373,-310,54_493,-666,-36
13.147_1L:-59.00,-35.66,64.65_-29,13,-24_257,-394,53_493,-666,-36
13.164_1L:-58.51,-36.76,65.64_-46,32,-48_252,-370,37_493,-666,-36
13.182_1L:-58.35,-37.86,66.18_-34,43,-19_278,-246,21_493,-666,-36
13.198_1L:-58.47,-38.91,66.25_-14,49,12_258,-173,25_493,-666,-36
13.226_1L:-59.70,-40.83,66.88_-6,42,20_223,-148,32_472,-667,-26
13.245_1L:-60.90,-43.33,68.00_-9,37,-6_179,-189,53_472,-667,-26
13.261_1L:-61.41,-44.23,69.16_-18,41,-42_199,-157,56_472,-667,-26
13.290_1L:-61.60,-45.56,70.08_-14,29,-37_215,-114,48_472,-667,-26
13.306_1L:-62.28,-47.06,70.85_-3,-3,4_218,-115,45_472,-667,-26
13.323_1L:-63.75,-48.00,71.64_11,-26,42_224,-140,47_472,-667,-26
13.353_1L:-65.19,-48.36,72.30_16,-24,45_207,-199,53_515,-626,-51
13.372_1L:-66.28,-47.99,73.23_14,-6,14_214,-230,62_515,-626,-51
13.389_1L:-66.53,-47.51,73.59_23,-6,0_230,-213,63_515,-626,-51
13.405_1L:-67.09,-46.79,73.74_37,-26,27_252,-187,53_515,-626,-51
13.435_1L:-67.65,-46.67,73.67_40,-15,38_327,-355,75_515,-626,-51
13.452_1L:-66.39,-47.35,72.92_30,45,-24_413,-365,109_515,-626,-51
13.469_1L:-64.13,-48.70,71.96_21,84,-70_490,-260,120_512,-636,-49
13.498_1L:-62.22,-50.28,70.96_14,84,-39_554,-191,146_512,-636,-49
13.514_1L:-60.82,-52.18,70.21_-7,107,-28_554,-180,127_512,-636,-49
13.530_1L:-59.82,-54.79,69.83_-38,127,-20_554,-32,-6_512,-636,-49
13.561_1L:-60.28,-57.16,69.63_-43,118,50_554,115,-110_512,-636,-49
13.579_1L:-62.58,-58.52,70.16_-31,56,112_554,146,-175_512,-636,-49
13.597_1L:-64.51,-58.71,71.16_-15,-2,73_554,149,-201_693,-440,-80
13.625_1L:-61.95,-59.00,71.93_-15,0,-152_345,267,-190_693,-440,-80
13.641_1L:-58.62,-58.92,72.65_-7,-19,-214_83,265,-1_693,-440,-80
13.658_1L:-51.32,-60.03,70.06_56,-170,-197_-203,136,361_693,-440,-80
13.692_1L:-49.96,-55.96,73.99_54,-252,-250_-469,45,570_693,-440,-80
13.706_1L:-48.91,-52.24,78.64_20,-260,-258_-469,-24,570_693,-440,-80
13.723_1L:-48.51,-48.66,83.73_-4,-260,-223_-469,-294,486_470,-590,165
13.753_1L:-52.62,-43.68,87.82_64,-259,75_-343,-498,181_470,-590,165
13.770_1L:-52.94,-44.57,86.11_45,87,99_-60,-498,71_470,-590,165
13.787_1L:-46.46,-48.58,82.65_-18,259,-200_-329,-498,271_470,-590,165
13.817_1L:-41.74,-50.72,81.12_-21,123,-166_-36,393,83_470,-590,165
13.831_1L:-41.85,-51.18,81.15_-2,26,24_149,464,105_470,-590,165
13.848_1L:-42.88,-50.68,81.37_32,-13,64_65,80,138_378,-614,263
13.877_1L:-40.95,-50.74,78.82_34,31,74_-143,-163,218_378,-614,263
13.894_1L:-41.20,-47.68,77.52_16,64,96_-181,-156,255_378,-614,263
13.912_1L:-42.69,-47.00,76.53_12,63,154_-180,-155,254_378,-614,263
13.929_1L:-45.15,-46.06,75.36_23,60,207_-248,-264,265_378,-614,263
13.957_1L:-46.59,-47.53,73.93_8,110,164_-325,-417,280_378,-614,263
13.975_1L:-46.28,-49.34,71.31_25,145,115_-267,-323,233_502,-620,42
13.991_1L:-45.83,-50.55,67.39_60,133,137_-194,-220,191_502,-620,42
14.021_1L:-46.31,-49.62,64.58_64,93,146_-35,-165,156_502,-620,42
14.038_1L:-47.52,-46.58,63.40_19,67,125_81,-121,61_502,-620,42
14.054_1L:-49.15,-46.81,63.37_8,33,92_474,-6,25_502,-620,42
14.071_1L:-49.92,-46.69,63.11_29,9,67_554,84,18_502,-620,42
14.101_1L:-50.16,-46.63,62.59_34,17,47_554,115,-31_631,-539,-81
14.121_1L:-52.60,-45.88,63.26_13,-45,97_521,94,-77_631,-539,-81
14.137_1L:-56.84,-44.26,65.15_0,-111,149_554,-69,26_631,-539,-81
14.165_1L:-58.35,-42.65,66.46_9,-104,32_554,-314,120_631,-539,-81
14.183_1L:-56.69,-41.40,67.75_-2,-86,-132_519,-327,67_631,-539,-81
14.201_1L:-54.94,-40.47,69.25_-18,-82,-151_419,-189,-2_631,-539,-81
14.232_1L:-55.47,-39.47,71.56_-43,-99,-53_321,-143,-19_483,-653,-72
14.247_1L:-59.11,-39.33,74.96_-63,-96,63_314,-259,-7_483,-653,-72
14.264_1L:-62.16,-39.10,77.17_-61,-53,88_279,-336,-6_483,-653,-72
14.280_1L:-63.46,-39.61,78.39_-49,0,30_222,-338,-1_483,-653,-72
14.309_1L:-63.48,-40.24,79.06_-30,16,-21_187,-271,-17_483,-653,-72
14.325_1L:-64.73,-40.59,80.36_-17,12,-22_195,-221,-26_483,-653,-72
14.342_1L:-66.99,-41.19,82.06_-5,7,-10_201,-215,-22_397,-687,-173
14.374_1L:-68.90,-41.86,83.61_6,12,-11_211,-225,-16_397,-687,-173
14.391_1L:-69.86,-42.39,84.42_18,17,-18_224,-230,-10_397,-687,-173
14.408_1L:-70.51,-42.59,84.71_31,6,-4_238,-235,-9_397,-687,-173
14.436_1L:-71.36,-42.58,84.67_39,-3,26_262,-245,-23_397,-687,-173
14.454_1L:-71.35,-42.88,84.18_36,19,13_277,-330,-25_397,-687,-173
14.471_1L:-69.56,-43.58,82.81_50,51,-39_355,-383,20_441,-669,-154
14.500_1L:-66.67,-44.54,80.65_70,74,-60_418,-252,47_441,-669,-154
14.517_1L:-64.68,-45.62,78.86_54,80,-27_413,-189,37_441,-669,-154
14.533_1L:-63.55,-47.21,77.49_26,103,4_496,-168,55_441,-669,-154
14.550_1L:-61.79,-49.46,75.81_15,133,-14_538,-141,46_441,-669,-154
14.580_1L:-59.43,-51.58,74.21_9,131,-48_554,-33,19_441,-669,-154
14.597_1L:-57.61,-53.14,72.85_11,99,-27_554,118,-61_652,-509,-58
14.614_1L:-57.16,-53.83,71.44_21,46,30_554,166,-72_652,-509,-58
14.644_1L:-55.74,-54.33,70.82_8,31,-51_554,73,6_652,-509,-58
14.660_1L:-52.73,-55.61,71.74_-52,34,-197_377,74,11_652,-509,-58
14.677_1L:-51.40,-55.64,74.17_-53,-48,-183_115,111,138_652,-509,-58
14.707_1L:-45.69,-52.89,73.89_42,-237,-197_-145,35,337_652,-509,-58
14.724_1L:-43.24,-48.27,76.85_98,-260,-249_-469,30,526_578,-536,80
14.741_1L:-41.34,-44.29,82.08_31,-260,-257_-469,-238,570_578,-536,80
14.772_1L:-42.32,-42.50,88.65_-96,-260,-187_-469,-449,389_578,-536,80
14.788_1L:-54.22,-39.91,93.76_-45,-244,441_-150,-478,-389_578,-536,80
14.805_1L:-54.67,-41.80,87.83_140,218,235_419,-498,-160_578,-536,80
14.835_1L:-47.10,-43.46,83.82_73,159,-254_-469,-498,220_578,-536,80
14.850_1L:-43.42,-44.65,82.32_6,86,-143_20,525,192_299,-676,217
14.867_1L:-45.97,-45.24,83.36_-21,10,109_112,45,177_299,-676,217
14.898_1L:-44.30,-45.36,81.58_2,-13,102_53,-109,164_299,-676,217
14.915_1L:-44.21,-43.68,81.32_20,3,49_-41,-105,173_299,-676,217
14.932_1L:-44.35,-40.94,80.87_27,3,74_-134,-121,178_299,-676,217
14.950_1L:-46.02,-35.29,80.39_24,4,157_-194,-158,179_299,-676,217
14.978_1L:-48.81,-32.42,79.93_16,53,196_-255,-272,199_345,-693,21
14.997_1L:-50.70,-34.25,78.04_14,116,144_-294,-365,222_345,-693,21
15.014_1L:-50.85,-35.57,75.58_53,129,92_-287,-309,208_345,-693,21
