0.000_1L:þ
Offsets:257,262,259,-43,-14,-59
P:roll,pitch,yaw;gyrox,gyroy,gyroz;accelx,accely,accelz;magx,magy,magz
7.293_1L:-23.89,-15.61,42.57_19,43,34_357,-151,160_489,-641,153
7.311_1L:-23.59,-16.06,41.35_13,75,4_382,-215,197_489,-641,153
7.327_1L:-22.37,-16.78,39.86_4,98,-41_414,-193,203_489,-641,153
7.355_1L:-20.97,-17.48,38.19_7,103,-43_489,-147,188_600,-518,169
7.373_1L:-20.03,-17.84,36.26_20,92,-18_554,-39,82_600,-518,169
7.389_1L:-19.87,-17.77,34.33_42,91,22_554,5,-7_600,-518,169
7.419_1L:-20.05,-17.82,32.39_39,100,43_554,62,-9_600,-518,169
7.436_1L:-19.21,-18.42,31.04_1,80,-20_554,120,-22_600,-518,169
7.453_1L:-17.06,-19.83,31.23_-67,23,-119_554,404,-174_600,-518,169
7.487_1L:-15.41,-22.18,32.61_-126,-22,-111_479,525,-266_710,-336,169
7.502_1L:-15.37,-21.91,35.97_-26,-163,-69_251,525,-147_710,-336,169
7.532_1L:-13.22,-17.41,39.84_184,-260,-177_-251,441,120_710,-336,169
7.545_1L:-9.38,-12.55,43.39_231,-260,-257_-469,322,415_710,-336,169
7.563_1L:-5.37,-10.26,47.69_99,-260,-254_-469,292,570_710,-336,169
7.593_1L:-7.13,-8.16,51.15_93,-228,62_-469,-498,61_710,-336,169
7.605_1L:-6.47,-9.41,44.73_-27,300,14_-469,-498,352_198,-560,452
7.622_1L:-1.15,-10.59,41.11_-44,215,-227_10,525,136_198,-560,452
7.638_1L:-1.48,-10.93,40.82_-12,54,26_151,525,154_198,-560,452
7.668_1L:-3.27,-10.72,41.54_15,0,96_66,159,182_198,-560,452
7.685_1L:-0.02,-11.86,40.74_-17,42,41_21,-22,300_198,-560,452
7.703_1L:-0.56,-12.18,40.62_-41,48,21_-22,2,338_198,-560,452
7.719_1L:-2.08,-12.63,40.43_-50,49,94_-88,-22,315_385,-469,440
7.750_1L:-5.11,-12.06,39.90_-31,48,161_-102,-91,275_385,-469,440
7.767_1L:-8.46,-10.67,39.03_-13,75,152_-189,-203,258_385,-469,440
7.784_1L:-10.11,-11.89,37.07_-37,129,109_-262,-218,256_385,-469,440
7.812_1L:-11.77,-13.60,35.10_-61,143,120_-243,-152,250_385,-469,440
7.829_1L:-14.12,-15.49,33.81_-69,109,145_-43,-55,124_385,-469,440
7.847_1L:-17.06,-16.52,33.40_-49,65,169_117,-61,25_598,-524,166
7.876_1L:-20.83,-17.40,32.91_-12,40,182_200,-99,-13_598,-524,166
7.892_1L:-25.59,-21.21,33.15_-3,39,167_306,-76,-39_598,-524,166
7.908_1L:-29.70,-24.52,33.46_0,20,168_330,-41,-93_598,-524,166
7.924_1L:-33.55,-26.35,34.61_-24,-26,166_382,-49,-131_598,-524,166
7.955_1L:-36.28,-26.17,35.68_-11,-42,119_554,-74,-40_598,-524,166
7.972_1L:-37.33,-25.51,36.06_27,-33,50_538,-34,12_585,-569,-61
7.988_1L:-37.84,-24.33,36.60_44,-43,19_414,-45,32_585,-569,-61
8.019_1L:-38.24,-23.44,37.49_25,-55,8_429,-87,65_585,-569,-61
8.036_1L:-38.67,-22.56,38.94_6,-74,-2_487,-203,85_585,-569,-61
8.052_1L:-39.40,-21.40,40.65_7,-99,9_480,-222,111_585,-569,-61
