0.000_1L:5.36,5.29,50.ñ
Offsets:257,263,259,0,-2,-60
P:roll,pitch,yaw;gyrox,gyroy,gyroz;accelx,accely,accelz;magx,magy,magz
7.263_1L:23.30,-50.81,7.99_237,-194,-171_-199,-22,352_738,-315,64
7.291_1L:20.62,-48.58,14.72_200,-167,-108_-277,-74,353_738,-315,64
7.309_1L:18.93,-46.64,19.89_155,-128,-88_-215,-184,427_738,-315,64
7.326_1L:17.96,-44.24,24.58_182,-122,-109_-120,-252,532_738,-315,64
7.357_1L:17.16,-41.29,29.64_206,-133,-118_-254,-239,571_352,-474,617
7.372_1L:16.51,-39.71,33.95_107,-93,-63_-197,-313,571_352,-474,617
7.402_1L:15.76,-39.67,35.98_20,-46,3_-26,-248,494_352,-474,617
7.415_1L:14.78,-39.49,37.36_21,-23,36_102,-211,369_352,-474,617
7.433_1L:14.78,-39.00,38.89_38,-23,-20_52,-258,343_352,-474,617
7.450_1L:15.01,-38.52,40.40_39,-25,-34_36,-100,293_352,-474,617
7.479_1L:12.38,-36.57,43.11_27,-13,-2_-11,-76,276_109,-400,713
7.498_1L:9.93,-33.70,45.72_7,-1,-11_1,-146,319_109,-400,713
7.514_1L:10.01,-33.19,46.95_-4,11,-43_31,-44,269_109,-400,713
7.542_1L:8.84,-31.08,48.76_5,6,-31_15,-29,243_109,-400,713
7.559_1L:7.98,-28.56,50.52_9,2,-39_7,-36,230_109,-400,713
7.575_1L:7.66,-26.30,52.25_12,2,-61_13,-19,236_109,-400,713
7.592_1L:7.47,-24.54,53.62_-3,4,-47_-4,28,287_112,-319,740
7.624_1L:7.74,-22.71,54.76_-3,-3,-20_14,-2,254_112,-319,740
7.641_1L:7.39,-21.04,55.96_-4,4,-22_-10,-1,233_112,-319,740
7.658_1L:7.09,-19.28,57.11_-6,5,-16_1,22,249_112,-319,740
7.674_1L:6.93,-17.60,58.15_-4,0,0_22,17,258_112,-319,740
7.702_1L:6.58,-16.39,59.26_3,1,3_27,-13,263_112,-319,740
7.721_1L:5.79,-15.35,60.42_9,4,-3_20,-31,255_139,-265,750
7.750_1L:4.58,-14.25,61.50_7,2,-3_20,-17,247_139,-265,750
7.766_1L:3.79,-13.30,62.42_5,1,-3_21,-16,248_139,-265,750
7.784_1L:3.01,-12.44,63.41_5,-3,-1_22,-11,253_139,-265,750
7.802_1L:2.41,-11.63,64.35_10,-6,2_19,-20,256_139,-265,750
7.818_1L:1.70,-10.73,65.31_14,-5,0_6,0,240_139,-265,750
7.847_1L:1.53,-9.81,66.07_10,-3,0_9,-4,246_134,-267,753
7.864_1L:1.22,-8.93,66.67_10,-3,2_3,-12,245_134,-267,753
7.880_1L:0.71,-8.07,67.29_9,-6,5_0,-25,244_134,-267,753
7.898_1L:0.06,-7.21,67.95_8,-5,-2_9,-33,248_134,-267,753
7.927_1L:-0.63,-6.67,68.54_7,-4,-5_7,-8,243_134,-267,753
7.945_1L:-0.72,-6.16,69.08_6,-4,-3_6,-2,244_134,-267,753
7.962_1L:-0.69,-5.70,69.54_6,-3,-2_6,-15,249_129,-270,756
7.992_1L:-0.89,-5.22,69.75_7,-2,-6_13,-22,252_129,-270,756
8.009_1L:-1.20,-4.93,69.95_9,-2,-6_12,-11,252_129,-270,756
8.026_1L:-1.27,-4.65,70.13_8,-2,-5_1,-11,242_129,-270,756
8.042_1L:-1.31,-4.25,70.28_5,-1,-6_6,-8,244_129,-270,756
8.071_1L:-1.28,-4.02,70.42_3,-1,-6_13,-12,250_129,-270,756
8.089_1L:-1.35,-3.90,70.58_6,-1,-6_17,-10,254_133,-257,751
8.118_1L:-1.40,-3.82,70.55_9,-3,-4_12,2,246_133,-257,751
8.135_1L:-1.24,-3.70,70.51_6,-3,0_6,-1,243_133,-257,751
8.152_1L:-1.16,-3.48,70.46_6,-2,-1_13,-23,253_133,-257,751
8.168_1L:-1.51,-3.35,70.46_9,-3,-5_13,-15,253_133,-257,751
8.184_1L:-1.63,-3.20,70.46_11,-4,-5_14,-4,251_133,-257,751
8.214_1L:-1.60,-3.05,70.44_13,-4,0_17,-7,254_130,-255,762
8.234_1L:-1.87,-2.83,70.40_21,-5,13_28,-13,276_130,-255,762
8.251_1L:-2.91,-2.81,70.35_20,-5,48_26,-25,317_130,-255,762
8.278_1L:-4.73,-3.56,70.07_-29,11,93_-63,-167,520_130,-255,762
8.296_1L:-7.75,-5.73,69.89_-105,15,156_-44,-216,525_130,-255,762
8.312_1L:-12.06,-8.58,69.82_-146,24,234_7,-334,514_130,-255,762
8.328_1L:-16.88,-12.06,69.39_-162,59,254_-10,-498,527_305,-564,583
8.361_1L:-20.70,-16.46,67.76_-174,131,211_-35,-460,481_305,-564,583
8.392_1L:-24.16,-21.47,65.26_-186,200,227_-71,-396,446_305,-564,583
8.405_1L:-27.35,-26.68,62.88_-196,219,233_-69,-316,395_305,-564,583
8.422_1L:-31.03,-32.06,60.73_-188,211,254_-49,-132,312_305,-564,583
8.452_1L:-34.43,-35.95,58.82_-182,206,262_-74,-111,304_305,-564,583
8.466_1L:-37.04,-39.23,56.55_-166,209,240_-76,-42,273_712,-377,-126
8.497_1L:-36.10,-40.26,51.83_-134,195,168_-157,151,160_712,-377,-126
8.511_1L:-31.36,-41.27,45.69_-121,189,121_-193,206,91_712,-377,-126
8.526_1L:-27.58,-42.82,40.55_-113,166,103_-133,309,-36_712,-377,-126
8.557_1L:-24.92,-45.51,36.12_-68,126,82_-3,345,-155_712,-377,-126
8.571_1L:-24.34,-47.01,34.01_-37,100,51_63,362,-201_712,-377,-126
8.589_1L:-23.57,-48.16,32.49_-28,68,19_195,443,-225_674,62,-376
8.619_1L:-23.69,-48.35,31.43_4,17,28_262,349,-163_674,62,-376
8.635_1L:-24.17,-48.19,30.65_18,3,38_247,67,-58_674,62,-376
8.652_1L:-22.41,-53.03,28.29_1,31,17_231,-15,-44_674,62,-376
8.668_1L:-22.85,-57.26,27.74_-12,37,12_274,164,-63_674,62,-376
8.699_1L:-20.41,-59.61,25.00_0,15,14_251,162,-67_674,62,-376
8.715_1L:-17.22,-62.29,21.68_15,-10,17_261,98,-78_657,136,-374
8.732_1L:-14.40,-65.64,18.76_14,-8,5_230,52,-70_657,136,-374
8.763_1L:-11.56,-69.82,15.83_-3,7,0_232,42,-50_657,136,-374
8.779_1L:-8.94,-72.91,13.18_-5,1,-1_273,101,-72_657,136,-374
8.796_1L:-4.34,-74.99,8.63_13,-10,1_271,44,-68_657,136,-374
8.812_1L:-1.29,-77.06,5.68_17,-6,-5_239,58,-61_657,136,-374
8.843_1L:6.13,-79.54,-1.70_9,-4,2_250,83,-61_660,141,-370
8.860_1L:16.93,-81.17,-12.53_7,-7,6_251,45,-60_660,141,-370
8.876_1L:27.09,-82.74,-22.66_10,-6,2_247,29,-60_660,141,-370
8.895_1L:37.09,-84.04,-32.70_15,-8,6_249,73,-53_660,141,-370
8.923_1L:53.33,-84.20,-48.91_15,-11,5_239,57,-44_660,141,-370
8.940_1L:68.19,-84.09,-63.56_13,-10,-3_248,30,-33_660,141,-370
8.956_1L:76.07,-84.26,-71.19_14,-10,-6_255,26,-27_673,133,-358
8.987_1L:82.74,-84.51,-77.86_12,-14,0_266,19,-26_673,133,-358
9.004_1L:88.27,-84.78,-83.55_7,-13,9_254,11,-39_673,133,-358
9.020_1L:99.19,-84.93,-94.49_2,-4,2_256,15,-58_673,133,-358
9.051_1L:111.05,-84.71,-106.24_7,-2,-3_265,42,-61_673,133,-358
9.067_1L:117.83,-83.99,-112.86_11,-6,-4_258,52,-51_673,133,-358
9.084_1L:120.85,-83.32,-115.77_13,-13,-2_262,66,-48_676,121,-352
9.116_1L:121.77,-82.49,-116.53_14,-14,-10_257,66,-43_676,121,-352
9.134_1L:121.96,-81.82,-116.47_14,-14,-16_255,84,-46_676,121,-352
9.151_1L:121.70,-80.91,-115.84_13,-17,-23_249,121,-63_676,121,-352
9.182_1L:121.43,-79.81,-115.03_19,-28,-34_244,170,-88_676,121,-352
9.196_1L:121.06,-79.01,-113.68_37,-46,-55_233,213,-105_676,121,-352
9.213_1L:119.83,-79.22,-110.93_69,-70,-86_214,255,-116_710,19,-310
9.243_1L:116.32,-81.01,-104.84_107,-103,-118_190,293,-119_710,19,-310
9.261_1L:107.15,-84.25,-92.75_137,-139,-140_161,302,-109_710,19,-310
9.276_1L:76.93,-86.59,-59.26_157,-160,-167_75,190,-44_710,19,-310
9.306_1L:51.18,-85.43,-29.53_172,-163,-213_52,155,-8_710,19,-310
9.322_1L:17.96,-83.49,8.45_190,-175,-242_40,110,9_710,19,-310
9.339_1L:-2.90,-80.04,34.00_210,-188,-251_-3,102,32_694,-401,149
9.369_1L:-10.66,-75.03,47.18_220,-178,-233_-91,79,100_694,-401,149
9.386_1L:-10.51,-70.13,51.45_218,-156,-210_-169,-59,286_694,-401,149
9.403_1L:-10.79,-63.77,55.96_200,-143,-187_-217,-103,387_694,-401,149
9.432_1L:-11.09,-61.05,59.20_138,-113,-126_-158,-74,375_694,-401,149
9.447_1L:-11.53,-58.47,61.87_125,-98,-85_-23,-137,393_694,-401,149
9.464_1L:-11.46,-55.69,63.93_144,-93,-86_-43,-203,413_349,-451,639
9.495_1L:-10.35,-53.08,66.03_113,-61,-88_-49,-151,402_349,-451,639
9.513_1L:-9.76,-51.87,67.53_68,-43,-62_19,-109,380_349,-451,639
9.530_1L:-9.45,-50.67,69.08_64,-41,-44_13,-124,360_349,-451,639
9.545_1L:-8.95,-49.45,70.42_70,-37,-49_15,-123,361_349,-451,639
9.575_1L:-8.29,-48.12,71.73_73,-33,-50_-39,-104,349_349,-451,639
9.592_1L:-7.83,-47.15,72.76_42,-17,-34_-43,-60,336_161,-305,760
9.608_1L:-7.75,-45.25,73.85_18,-8,-7_-17,-51,322_161,-305,760
9.639_1L:-7.77,-43.44,75.02_-7,-13,-9_-1,-49,295_161,-305,760
9.655_1L:-7.15,-41.96,75.72_-65,19,-25_-42,-165,485_161,-305,760
9.672_1L:-6.51,-42.10,76.62_0,-2,-32_197,-85,342_161,-305,760
9.688_1L:-6.30,-42.10,77.61_7,-5,-10_37,82,229_161,-305,760
9.719_1L:-3.33,-39.36,76.57_9,-9,9_17,-20,248_198,-253,752
9.736_1L:-3.52,-35.91,77.63_7,-4,7_9,-57,252_198,-253,752
