0.000_1L:12.50,18.15,µ
Offsets:257,263,259,-31,0,-59
P:roll,pitch,yaw;gyrox,gyroy,gyroz;accelx,accely,accelz;magx,magy,magz
7.275_1L:105.94,-72.21,-102.66_66,-10,-48_253,140,-57_612,235,-392
7.291_1L:104.17,-72.14,-100.42_69,-37,-20_224,146,-87_612,235,-392
7.308_1L:103.72,-71.97,-100.53_65,-63,37_205,131,-113_612,235,-392
7.340_1L:105.37,-71.74,-103.21_58,-70,69_172,76,-102_612,235,-392
7.354_1L:106.55,-72.45,-105.15_64,-67,52_158,62,-63_679,175,-309
7.372_1L:103.40,-74.36,-101.72_104,-92,3_215,309,-58_679,175,-309
7.400_1L:96.24,-78.14,-94.84_124,-184,26_351,392,-120_679,175,-309
7.416_1L:77.84,-82.63,-78.50_147,-253,123_542,311,-69_679,175,-309
7.435_1L:22.65,-84.58,-25.62_180,-261,131_542,119,77_679,175,-309
7.452_1L:-10.29,-81.72,7.57_180,-201,-10_542,42,60_679,175,-309
7.480_1L:-14.55,-78.65,14.39_148,-103,-138_542,86,-12_761,-204,-11
7.499_1L:-9.23,-76.88,12.37_99,-3,-155_542,219,-58_761,-204,-11
7.516_1L:-3.85,-76.20,8.88_49,35,-90_542,340,-45_761,-204,-11
7.529_1L:-4.46,-75.75,10.20_31,-21,-23_542,511,-32_761,-204,-11
7.562_1L:-12.13,-74.83,19.85_36,-141,-76_542,511,-11_761,-204,-11
7.579_1L:-21.53,-72.19,34.61_65,-252,-233_335,461,31_761,-204,-11
7.596_1L:-28.45,-70.14,47.13_9,-250,-257_-82,511,107_686,-337,233
7.626_1L:-32.57,-66.80,57.92_43,-245,-257_-481,-177,570_686,-337,233
7.644_1L:-31.03,-60.92,61.92_230,-261,-252_-481,-512,570_686,-337,233
7.675_1L:-32.33,-57.36,67.10_97,-212,-135_-481,-512,485_686,-337,233
7.689_1L:-28.31,-62.38,62.99_-164,243,0_-425,-389,230_686,-337,233
7.706_1L:-20.35,-64.59,58.96_-47,139,-203_10,507,-8_686,-337,233
7.723_1L:-22.25,-63.10,62.11_59,-95,-27_52,511,54_441,-375,471
7.752_1L:-24.94,-61.89,64.81_42,-68,43_-60,-129,264_441,-375,471
7.768_1L:-25.49,-58.45,65.30_-9,9,35_-67,-105,285_441,-375,471
7.784_1L:-25.76,-55.87,64.46_-21,42,91_-60,-140,286_441,-375,471
7.803_1L:-27.32,-53.94,63.81_-7,51,146_-89,-138,279_441,-375,471
7.832_1L:-30.14,-51.79,63.01_0,53,213_-179,-170,281_441,-375,471
7.850_1L:-34.02,-52.73,62.11_-3,69,287_-285,-252,296_462,-509,341
7.879_1L:-39.03,-54.60,60.72_-25,92,322_-300,-217,225_462,-509,341
7.896_1L:-43.73,-56.15,58.76_0,106,376_-218,-191,138_462,-509,341
7.914_1L:-47.66,-54.83,55.34_44,153,365_-33,-272,118_462,-509,341
7.931_1L:-49.64,-54.45,51.76_44,242,256_29,-303,98_462,-509,341
7.959_1L:-50.11,-55.91,49.10_-1,240,133_52,-249,64_462,-509,341
7.977_1L:-53.98,-55.60,51.13_-52,160,82_119,-54,9_722,-377,-84
7.996_1L:-55.84,-57.96,51.27_-57,84,84_378,102,-9_722,-377,-84
8.023_1L:-56.11,-59.99,49.58_-16,114,96_542,231,80_722,-377,-84
8.041_1L:-53.91,-61.79,45.36_40,134,80_542,243,58_722,-377,-84
8.058_1L:-51.39,-63.44,41.51_30,127,54_436,172,-70_722,-377,-84
8.075_1L:-52.76,-64.81,42.12_-45,45,49_542,84,29_722,-377,-84
8.103_1L:-53.92,-65.66,43.74_-48,13,-12_542,79,154_762,-106,-189
8.123_1L:-51.08,-66.30,42.27_9,35,-78_542,53,138_762,-106,-189
8.139_1L:-48.57,-66.71,40.27_24,39,-43_495,100,64_762,-106,-189
8.167_1L:-50.14,-67.11,40.85_-17,2,48_390,18,-4_762,-106,-189
8.185_1L:-54.05,-68.28,43.27_-73,13,86_349,-102,-5_762,-106,-189
8.203_1L:-56.16,-71.07,45.36_-102,91,-1_386,-254,34_762,-106,-189
8.219_1L:-54.30,-73.99,44.78_-76,131,-78_375,-229,21_729,2,-277
8.248_1L:-50.07,-76.74,41.22_-40,124,-43_245,-35,-89_729,2,-277
8.264_1L:-56.05,-80.36,46.64_-25,107,9_220,-13,-67_729,2,-277
8.280_1L:-61.52,-83.57,51.35_-17,100,26_201,-37,-60_729,2,-277
8.312_1L:-68.40,-85.58,57.86_-7,95,11_190,-1,-65_729,2,-277
8.329_1L:-75.38,-87.99,64.87_3,98,-9_180,14,-71_729,2,-277
8.347_1L:-138.83,-89.55,128.53_12,71,-15_153,77,-73_656,243,-331
8.377_1L:124.93,-87.70,-135.29_6,50,1_152,129,-67_656,243,-331
8.394_1L:118.47,-84.04,-129.07_-22,70,12_157,157,-61_656,243,-331
8.412_1L:117.17,-79.33,-127.81_-42,64,1_145,164,-65_656,243,-331
8.439_1L:117.09,-75.74,-127.85_-29,25,5_238,215,-69_656,243,-331
8.457_1L:116.05,-74.64,-127.52_1,-19,39_257,196,-61_656,243,-331
8.475_1L:114.35,-73.94,-126.65_14,-23,45_208,53,-41_595,342,-352
8.503_1L:116.02,-73.81,-128.23_2,-6,-13_222,58,-60_595,342,-352
8.521_1L:118.64,-73.60,-130.71_7,-11,-12_278,102,-64_595,342,-352
8.538_1L:118.17,-73.52,-130.59_25,-19,13_285,66,-41_595,342,-352
8.552_1L:117.33,-73.95,-130.02_28,-14,8_276,62,-31_595,342,-352
8.583_1L:117.21,-74.17,-129.85_12,-6,-10_236,67,-23_595,342,-352
8.601_1L:117.47,-74.04,-130.01_-5,-8,-17_264,104,-38_615,326,-336
8.617_1L:117.70,-73.66,-130.60_-4,-22,5_310,101,-43_615,326,-336
8.648_1L:117.68,-73.92,-131.12_9,-28,18_298,38,-40_615,326,-336
8.665_1L:118.76,-74.51,-132.23_10,-15,-5_286,38,-47_615,326,-336
8.683_1L:120.71,-74.76,-133.83_3,-2,-23_287,80,-55_615,326,-336
8.699_1L:121.27,-74.45,-134.32_4,-2,-10_298,99,-52_615,326,-336
8.728_1L:120.84,-74.20,-134.11_9,-6,4_292,78,-49_620,311,-342
8.747_1L:120.77,-74.07,-134.11_10,-3,-4_280,66,-51_620,311,-342
8.763_1L:121.38,-73.86,-134.44_7,5,-20_274,76,-53_620,311,-342
8.792_1L:121.67,-73.55,-134.50_9,3,-19_278,101,-52_620,311,-342
8.809_1L:121.07,-73.18,-133.97_12,-5,-5_284,104,-47_620,311,-342
8.825_1L:120.35,-72.92,-133.44_11,-7,1_276,91,-43_620,311,-342
8.854_1L:119.95,-72.66,-133.11_7,-3,-6_273,74,-40_623,304,-344
8.872_1L:119.99,-72.55,-132.89_7,2,-20_267,75,-44_623,304,-344
8.889_1L:120.20,-72.51,-132.73_12,-3,-26_260,85,-43_623,304,-344
8.907_1L:119.98,-72.52,-132.16_19,-13,-26_243,78,-44_623,304,-344
8.936_1L:119.98,-72.58,-131.62_24,-15,-34_221,70,-43_623,304,-344
8.954_1L:120.39,-72.59,-131.08_26,-11,-57_193,52,-53_623,304,-344
8.971_1L:121.56,-72.85,-130.91_36,-14,-72_192,73,-67_644,256,-344
9.001_1L:122.08,-73.33,-130.02_63,-38,-66_230,82,-58_644,256,-344
9.018_1L:120.89,-74.76,-127.48_102,-77,-67_257,99,-37_644,256,-344
9.049_1L:119.39,-77.25,-124.39_111,-138,-92_237,84,-20_644,256,-344
9.061_1L:117.86,-80.78,-122.03_108,-199,-52_392,260,-89_644,256,-344
9.078_1L:119.82,-85.09,-125.21_105,-220,61_523,212,-68_644,256,-344
9.108_1L:111.50,-88.71,-119.26_108,-167,121_542,22,22_761,-81,-176
9.123_1L:-20.51,-88.61,12.58_87,-79,8_542,-48,57_761,-81,-176
9.140_1L:-15.32,-87.82,9.06_48,-13,-90_542,138,-58_761,-81,-176
9.156_1L:0.16,-87.50,-5.85_29,25,-35_542,351,-168_761,-81,-176
9.187_1L:23.63,-86.88,-29.68_26,60,13_542,371,-116_761,-81,-176
9.205_1L:39.25,-86.09,-42.92_22,54,-135_542,287,-64_761,-81,-176
9.222_1L:37.00,-85.38,-35.81_52,-7,-255_542,415,-165_793,-92,-63
9.250_1L:14.62,-84.15,-8.17_110,-94,-252_201,456,-188_793,-92,-63
